company,title,location,url,job_id,timestamp,source
Procter & Gamble,"Saved jobs 
            (0)",,https://www.pgcareers.com/in/en/jobcart,,2025-02-26 10:37:31,Procter & Gamble
Procter & Gamble,Manager Regulatory Affairs,"Location
                    
                    
                    MUMBAI, India",https://www.pgcareers.com/in/en/job/R000122015/Manager-Regulatory-Affairs,,2025-02-26 10:37:31,Procter & Gamble
Procter & Gamble,Sales Manager,Available in 2 locations,https://www.pgcareers.com/in/en/job/R000121101/Sales-Manager,,2025-02-26 10:37:31,Procter & Gamble
