company,title,location,url,job_id,timestamp,source
Nestle,Business Analyst - AOA MarTech/AdTech,India,https://jobdetails.nestle.com/job/Bangalore-Business-Analyst-AOA-MarTechAdTech-560103/1162474801/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Platform Owner - Data Integration,India,https://jobdetails.nestle.com/job/Bangalore-Platform-Owner-Data-Integration-560103/1147126601/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Business Analyst Manager - Global Logistics,India,https://jobdetails.nestle.com/job/Bangalore-Business-Analyst-Manager-Global-Logistics-560103/1159034401/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Manager SAP Technologies,India,https://jobdetails.nestle.com/job/Bangalore-Manager-SAP-Technologies-560103/1134354001/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Senior Solution Architect,India,https://jobdetails.nestle.com/job/Bangalore-Senior-Solution-Architect-560103/1146115701/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Senior Network Specialist,India,https://jobdetails.nestle.com/job/Bangalore-Senior-Network-Specialist-560103/1148952501/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Technical Product Owner,India,https://jobdetails.nestle.com/job/Bangalore-Technical-Product-Owner-560103/1133532601/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,Product Owner Voice & Contact Center,India,https://jobdetails.nestle.com/job/Bangalore-Product-Owner-Voice-&-Contact-Center-560103/1157550001/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,IT HR Solution Architect,India,https://jobdetails.nestle.com/job/Bangalore-IT-HR-Solution-Architect-560103/1098248801/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
Nestle,IT Business Solutions Analyst - Demand and Supply Planning (OMP),India,https://jobdetails.nestle.com/job/Bangalore-IT-Business-Solutions-Analyst-Demand-and-Supply-Planning-%28OMP%29-560103/1049786301/?feedId=256801&utm_source=NestleCareers,,2025-02-27 10:56:34,Nestle
